Metric,Base,C1 · ventilation,C2 · latent,C3 · both,C1 · ventilation vs Base (%),C2 · latent vs Base (%),C3 · both vs Base (%)
Sensible heating (kWh),1779.360276066416,2184.9295482807465,1779.360276066416,2184.9295482807465,22.79298226837522,0.0,22.79298226837522
Sensible cooling (kWh),640.8369660455513,496.8105294966193,640.8369660455513,496.8105294966193,-22.474739158336014,0.0,-22.474739158336014
Ventilation + infiltration loss (kWh),2031.9092286368234,2887.9061458550227,2031.9092286368234,2887.9061458550227,42.12771442514066,0.0,42.12771442514066
"Latent cooling, gated (kWh)",26.12147101507936,26.65885929233737,18.209144419047007,15.528139309657115,2.0572665182132646,-30.290509257555744,-40.55411618781709
"Latent cooling, ungated (kWh)",900.051690511355,1141.0705051875684,512.0217051942868,631.4735346520229,26.77833031337135,-43.11196672455701,-29.840303472653023
Latent heating (kWh),152.65064609492043,183.93704417457178,0.0,0.0028963132190944043,20.49542460514514,-100.0,-99.99810265249891
Total energy need (kWh),2598.969359221967,2892.335981244275,2438.406386531014,2697.271113400242,11.287806105960824,-6.177947890044357,3.782336018293919
