Metric,Before (= +C2),+Ventilation,+Latent (cumulative),+Ventilation vs Before (= +C2) (%),+Latent (cumulative) vs Before (= +C2) (%)
Sensible heating (kWh),1788.1086831949326,2197.416632928695,2197.416632928695,22.890552100134354,22.890552100134354
Sensible cooling (kWh),580.767120231178,445.6804723080103,445.6804723080103,-23.26003715041506,-23.26003715041506
Ventilation + infiltration loss (kWh),2010.5848743341105,2860.646797201374,2860.646797201374,42.279335417202766,42.279335417202766
"Latent cooling, gated (kWh)",25.023648893409582,25.10188410032907,14.53331065579474,0.3126450792717595,-41.921696880816036
"Latent cooling, ungated (kWh)",906.2891128493923,1148.4867911504991,634.2353594045688,26.724107667986015,-30.018428952487426
Latent heating (kWh),152.90545223745005,184.93867978134023,0.00466355070506795,20.94969608679821,-99.9969500428946
Total energy need (kWh),2546.80490455697,2853.1376691183746,2657.635079443205,12.028120568375167,4.351733997681872
