Metric,Baseline,+C1 dynamic window,+C2 wind-dependent h_ce,+C1 dynamic window vs Baseline (%),+C2 wind-dependent h_ce vs Baseline (%)
Sensible heating (kWh),1779.360276066416,1783.9601702679572,1788.1086831949326,0.25851393129389794,0.4916602470106007
Sensible cooling (kWh),640.8369660455513,606.0653862247516,580.767120231178,-5.425963491988715,-9.37365492272547
Solar gains (kWh),810.5399874668723,709.5485701284414,709.5485701284414,-12.459769894148318,-12.459769894148318
Window transmission loss (kWh),334.33299992527725,337.4354567035341,336.2335284027221,0.927954099341149,0.5684537505629379
Opaque transmission loss (kWh),429.6143082046166,428.7291817538695,436.6887452633453,-0.20602815917515907,1.6466949362774301
Total transmission loss (kWh),5398.239506491121,5349.676704833869,5374.739354989667,-0.899604428422589,-0.43532991585860425
