state,Q_H_sensible_kWh,Q_C_sensible_kWh,Q_C_latent_kWh,Q_H_latent_kWh,Q_sensible_total_kWh,Q_latent_total_kWh,Q_need_total_kWh,Q_need_total_kWh_per_sqm,Q_C_latent_ungated_kWh,Q_tr_adjacent_loss_kWh,Q_tr_adjacent_gain_kWh,Q_ve_loss_kWh,Q_internal_gains_kWh,residual_kWh,residual_pct,gate_pass
Baseline,1308.6012591742424,741.8282457968048,55.76034140399059,157.99512482059313,2050.429504971047,213.75546622458373,2264.184971195631,113.20924855978156,617.3827075855587,4554.607192754764,2.8164037126090045,1868.484547336439,5356.685952,-87.42481949015986,-1.109167036967487,True
+Vent+Latent,1522.6086430750438,646.2505416776443,29.20638246757898,0.011654483458479295,2168.859184752688,29.21803695103746,2198.0772217037256,109.90386108518628,404.21158662825553,4351.271044289776,2.8164037126089845,2377.3070892315263,5356.685952,-81.42109815641585,-1.0095193852944329,True
+Internal Gains,3228.226303766032,308.30263840975516,15.85200900909628,0.04498845055451322,3536.528942175787,15.896997459650793,3552.4259396354378,177.62129698177188,670.6304502704949,2689.410731301072,5.826690727163307,1796.6172358329725,730.2912,-55.32008490728773,-1.0484559749279128,True
+Conditioned Zones,123.38774002887797,20.060292489039863,2.2873994629710923,0.0,143.44803251791782,2.2873994629710923,145.7354319808889,7.286771599044445,553.6170144991604,1056.8638943850149,1686.3301260610847,2096.259991233808,730.2912,-66.61203914917913,-1.723724176001943,True
+Ground Fix,123.38774002887797,20.060292489039863,2.2873994629710923,0.0,143.44803251791782,2.2873994629710923,145.7354319808889,7.286771599044445,553.6170144991604,1056.8638943850149,1686.3301260610847,2096.259991233808,730.2912,-1.3969838619232178e-12,-3.617038734423495e-14,True
+Hemisphere Fix,123.38774002887797,20.060292489039863,2.2873994629710923,0.0,143.44803251791782,2.2873994629710923,145.7354319808889,7.286771599044445,553.6170144991604,1056.8638943850149,1686.3301260610847,2096.259991233808,730.2912,-1.3969838619232178e-12,-3.617038734423495e-14,True
+Closure Fixes (HEAD),122.69192511671778,67.12109858922206,3.975874989038224,0.0,189.81302370593983,3.975874989038224,193.78889869497806,9.689444934748902,554.6211233912659,1135.2337409481495,1688.7014571801565,2120.2781874769657,730.2912,-9.313225746154785e-13,-2.3240930714105755e-14,True
