timestamp,Q_h(kWh),T_op(°C),T_ext(°C),ΦH_em_eff(kW),θH_em_flow(°C),θH_em_ret(°C),V_H_em_eff(m3/h),θH_em_flw_min_req(°C),θH_nod_out(°C),θH_cr_flw(°C),θH_cr_ret(°C),V_H_cr(m3/h),θH_dis_flw(°C),θH_dis_ret(°C),βH_em(-),Q_w_dis_i_ls(kWh),Q_w_dis_i_aux(kWh),Q_w_dis_i_ls_rbl_H(kWh),QH_dis_i_req(kWh),QH_dis_i_in(kWh),V_H_dis(m3/h),max_output_g1(kWh),QH_gen_out(kWh),θX_gen_cr_flw(°C),θX_gen_cr_ret(°C),V_H_gen(m3/h),efficiency_gen(%),EHW_gen_in(kWh),EHW_gen_aux(kWh),QW_gen_i_ls_rbl_H(kWh),QW_gen_out(kWh),QHW_gen_out(kWh),EH_gen_in(kWh),EWH_gen_in(kWh)
2009-12-01 00:00:00,0.0,19.643909865746792,-0.82,0.0,19.643909865746792,19.643909865746792,0.3448275862068966,21.643909865746792,38.997692307692304,38.997692307692304,19.643909865746792,0.0,19.643909865746792,19.643909865746792,0.0,0.0,0.024,0.0,0.0,-0.024,0.0,27.0,0.0,19.643909865746792,19.643909865746792,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01 01:00:00,0.0,19.473678733759368,-0.24,0.0,19.473678733759368,19.473678733759368,0.3448275862068966,21.473678733759368,38.61846153846154,38.61846153846154,19.473678733759368,0.0,19.473678733759368,19.473678733759368,0.0,0.0,0.024,0.0,0.0,-0.024,0.0,27.0,0.0,19.473678733759368,19.473678733759368,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01 02:00:00,0.0,19.300446301722175,0.34,0.0,19.300446301722175,19.300446301722175,0.3448275862068966,21.300446301722175,38.23923076923077,38.23923076923077,19.300446301722175,0.0,19.300446301722175,19.300446301722175,0.0,0.0,0.024,0.0,0.0,-0.024,0.0,27.0,0.0,19.300446301722175,19.300446301722175,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01 03:00:00,0.0,19.14584313344431,0.93,0.0,19.14584313344431,19.14584313344431,0.3448275862068966,21.14584313344431,37.85346153846154,37.85346153846154,19.14584313344431,0.0,19.14584313344431,19.14584313344431,0.0,0.0,0.024,0.0,0.0,-0.024,0.0,27.0,0.0,19.14584313344431,19.14584313344431,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01 04:00:00,0.0,19.000954702643178,1.51,0.0,19.000954702643178,19.000954702643178,0.3448275862068966,21.000954702643178,37.47423076923077,37.47423076923077,19.000954702643178,0.0,19.000954702643178,19.000954702643178,0.0,0.0,0.024,0.0,0.0,-0.024,0.0,27.0,0.0,19.000954702643178,19.000954702643178,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01 05:00:00,2.91014554837436,20.0,2.09,3.233495053749289,48.94998817425988,40.86625053988666,0.3448275862068966,50.94998817425988,37.095,37.095,40.86625053988666,0.0,48.94998817425988,40.86625053988666,0.40418688171866113,1.1955897291395168,0.024,1.076030756225565,3.233495053749289,3.3290540266632407,0.355018221857358,27.0,3.3290540266632407,48.94998817425988,46.484022228583406,1.1637931034482758,96.7579888857083,3.440598616198564,0.0,0.04461783581412942,0.0,3.3290540266632407,3.440598616198564,0.0
2009-12-01 06:00:00,2.5481596944798817,20.0,2.67,2.8312885494220907,46.02787023245636,38.949648858901135,0.3448275862068966,48.02787023245636,36.71576923076923,36.71576923076923,38.949648858901135,0.0,46.02787023245636,38.949648858901135,0.35391106867776134,1.0794604581925797,0.024,0.9715144123733218,2.8312885494220907,2.915234595241349,0.35505152200368334,27.0,2.915234595241349,46.02787023245636,43.86843719894425,1.1637931034482758,98.06578140052787,2.972733764629603,0.0,0.022999667755301625,0.0,2.915234595241349,2.972733764629603,0.0
2009-12-01 07:00:00,3.7826503481367144,20.000000000000004,3.25,4.202944831263016,55.72856657749634,45.221204499338796,0.3448275862068966,57.72856657749634,36.33653846153846,36.33653846153846,45.221204499338796,0.0,55.72856657749634,45.221204499338796,0.525368103907877,1.462794505844043,0.024,1.3165150552596387,4.202944831263016,4.3252242818474205,0.3548599157949713,27.0,4.3252242818474205,55.72856657749634,52.52469673909084,1.163793103448276,95.0,4.552867665102548,0.0,0.09105735330205107,0.0,4.3252242818474205,4.552867665102548,0.0
2009-12-01 08:00:00,3.89852232608753,19.999999999999996,3.83,4.331691473430589,56.605086557657046,45.77585787408057,0.3448275862068966,58.605086557657046,35.957307692307694,35.957307692307694,45.77585787408057,0.0,56.605086557657046,45.77585787408057,0.5414614341788236,1.4971426663617031,0.024,1.3474283997255327,4.331691473430589,4.4574057400667595,0.3548351657821771,27.0,4.4574057400667595,56.605086557657046,53.303304527977964,1.163793103448276,95.0,4.692006042175536,0.0,0.09384012084351064,0.0,4.4574057400667595,4.692006042175536,0.0
2009-12-01 09:00:00,4.068926362831025,20.0,3.92,4.521029292034473,57.88527961884553,46.58270638875935,0.3448275862068966,59.88527961884553,35.89846153846154,35.89846153846154,46.58270638875935,0.0,57.88527961884553,46.58270638875935,0.5651286615043091,1.547231664182517,0.024,1.3925084977642652,4.521029292034473,4.651752458452725,0.35479809314803684,27.0,4.651752458452725,57.88527961884553,54.439537057028694,1.1637931034482758,95.0,4.896581535213394,0.0,0.09793163070426765,0.0,4.651752458452725,4.896581535213394,0.0
